"[Repository]","[Page]","[Object]","[Name]","[Type]","[Identifier Type]","[Identifier Value]","[Locators]","[Properties]"
"","Business","InsuranceHistory","InsuranceHistory","Radio","Xpath","//label[contains(text(),'No, not required')]//preceding-sibling::span","{""xpath"":""//label[contains(text(),'No, not required')]//preceding-sibling::span""}","{}"
"","Business","NamedAdditionalInsureds","NamedAdditionalInsureds","Text Box","Xpath","//input[@fieldref='MoreBusinessInput.AdditionalInsuredCount']","{""xpath"":""//input[@fieldref='MoreBusinessInput.AdditionalInsuredCount']""}","{}"
"","Business","NamedWaiverOfSubrogationholders","NamedWaiverOfSubrogationholders","Text Box","Xpath","//input[@fieldref='MoreBusinessInput.WaiverOfSubrogationCount']","{""xpath"":""//input[@fieldref='MoreBusinessInput.WaiverOfSubrogationCount']""}","{}"
"","Business","NoSnapshotProview","NoSnapshotProview","Radio","Xpath","//h2[text()='Snapshot ProView: Safety Means Savings']//following-sibling::div//label[text()='No']//preceding-sibling::span","{""xpath"":""//h2[text()='Snapshot ProView: Safety Means Savings']//following-sibling::div//label[text()='No']//preceding-sibling::span""}","{}"
"","Business","OtherBusinessInsurance","OtherBusinessInsurance","Radio","Xpath","//label[contains(text(),'None')]//preceding-sibling::span","{""xpath"":""//label[contains(text(),'None')]//preceding-sibling::span""}","{}"
"","Business","Save&Continue","Save&Continue","Button","Xpath","//span[@fieldref='Save & Continue']","{""xpath"":""//span[@fieldref='Save & Continue']""}","{}"
"","Business","TestDemo","TestDemo","Web Element","Xpath","sdfdsfsd","{""xpath"":""sdfdsfsd""}","{}"
"","Business","Testing12345","Testing12345","Web Element","Xpath","ffdgdfgss","{""xpath"":""ffdgdfgss""}","{}"
"","Business","Version11","Version11","Web Element","Xpath","fsdfsd","{""xpath"":""fsdfsd""}","{}"
"","Commercial_Auto","Address","Address","Text Box","Xpath","//input[@fieldref='BusinessOwnerHomeAddressInput.Address']","{""xpath"":""//input[@fieldref='BusinessOwnerHomeAddressInput.Address']""}","{}"
"","Commercial_Auto","Business Radio button","Business Radio button","Radio","Xpath","//label[contains(text(),'Individual / Sole Proprietor')]//preceding-sibling::span","{""xpath"":""//label[contains(text(),'Individual / Sole Proprietor')]//preceding-sibling::span""}","{}"
"","Commercial_Auto","City","City","Text Box","Xpath","//input[@fieldref='BusinessOwnerHomeAddressInput.City']","{""xpath"":""//input[@fieldref='BusinessOwnerHomeAddressInput.City']""}","{}"
"","Commercial_Auto","CurrentlyInsured?","CurrentlyInsured?","Radio","Xpath","//label[contains(text(),'Progressive Commercial Auto?')]//parent::div//parent::div//following-sibling::div/div//td//label[text()='No']//preceding-sibling::span/input","{""xpath"":""//label[contains(text(),'Progressive Commercial Auto?')]//parent::div//parent::div//following-sibling::div/div//td//label[text()='No']//preceding-sibling::span/input""}","{}"
"","Commercial_Auto","DOB","DOB","Text Box","Xpath","//input[@fieldref='AccountInput.BusinessOwnerDOB']","{""xpath"":""//input[@fieldref='AccountInput.BusinessOwnerDOB']""}","{}"
"","Commercial_Auto","FirstName","FirstName","Text Box","Xpath","//input[@fieldref='AccountInput.BusinessOwnerName']","{""xpath"":""//input[@fieldref='AccountInput.BusinessOwnerName']""}","{}"
"","Commercial_Auto","KeyWord","KeyWord","Text Box","Xpath","//input[@fieldref='AccountInputNonShredded.BusinessDescriptionSearch']","{""xpath"":""//input[@fieldref='AccountInputNonShredded.BusinessDescriptionSearch']""}","{}"
"","Commercial_Auto","LastName","LastName","Text Box","Xpath","//input[@fieldref='AccountInput.BusinessOwnerLastName']","{""xpath"":""//input[@fieldref='AccountInput.BusinessOwnerLastName']""}","{}"
"","Commercial_Auto","StartQuote","StartQuote","Button","Xpath","//span[@fieldref='Ok, start quote.']","{""xpath"":""//span[@fieldref='Ok, start quote.']""}","{}"
"","Commercial_Auto","USDOT Number Radio button","USDOT Number Radio button","Radio","Xpath","//label[contains(text(),'No - and the customer')]//preceding-sibling::span","{""xpath"":""//label[contains(text(),'No - and the customer')]//preceding-sibling::span""}","{}"
"","Commercial_Auto","Wait","Wait","Web Element","NA","NA","{""na"":""NA""}","{}"
"","Commercial_Auto","ZipCode","ZipCode","Text Box","Xpath","//input[@fieldref='BusinessOwnerHomeAddressInput.Zipcode']","{""xpath"":""//input[@fieldref='BusinessOwnerHomeAddressInput.Zipcode']""}","{}"
"","Drivers","DrivingHistory","DrivingHistory","Radio","Xpath","//label[text()='No']//preceding-sibling::span","{""xpath"":""//label[text()='No']//preceding-sibling::span""}","{}"
"","Drivers","Save&Continue","Save&Continue","Button","Xpath","//div[@class='styleWithOutPanels']/div[3]/div[2]/div/div/div/div[4]//span","{""xpath"":""//div[@class='styleWithOutPanels']/div[3]/div[2]/div/div/div/div[4]//span""}","{}"
"","Drivers","Save&Continue2","Save&Continue2","Button","Xpath","//div[@id='main']/div[1]/div/div[8]//span[@fieldref='Save & Continue']","{""xpath"":""//div[@id='main']/div[1]/div/div[8]//span[@fieldref='Save & Continue']""}","{}"
"","FinalDetails","AddSpouse","AddSpouse","Radio","Xpath","//label[text()='No']//preceding-sibling::span","{""xpath"":""//label[text()='No']//preceding-sibling::span""}","{}"
"","FinalDetails","AgenOfRecord","AgenOfRecord","Text Box","Xpath","//input[@fieldref='PolicyInput.AgentOfRecord']","{""xpath"":""//input[@fieldref='PolicyInput.AgentOfRecord']""}","{}"
"","FinalDetails","AllowService","AllowService","Radio","Xpath","//label[contains(text(),'providers to contact them for this purpose?')]//parent::div//parent::div[@class='downBeforeFormLabel']//following-sibling::div//label[text()='Yes']//preceding-sibling::span/input","{""xpath"":""//label[contains(text(),'providers to contact them for this purpose?')]//parent::div//parent::div[@class='downBeforeFormLabel']//following-sibling::div//label[text()='Yes']//preceding-sibling::span/input""}","{}"
"","FinalDetails","DrivingLicense","DrivingLicense","Text Box","Xpath","//input[@fieldref='DriverInput.DriverLicenseNumber']","{""xpath"":""//input[@fieldref='DriverInput.DriverLicenseNumber']""}","{}"
"","FinalDetails","NoAdditionalInsureds","NoAdditionalInsureds","Radio","Xpath","//label[contains(text(),'extra named additional insureds?')]//parent::div//parent::div[@class='downBeforeFormLabel']//following-sibling::div//label[text()='No']//preceding-sibling::span/input","{""xpath"":""//label[contains(text(),'extra named additional insureds?')]//parent::div//parent::div[@class='downBeforeFormLabel']//following-sibling::div//label[text()='No']//preceding-sibling::span/input""}","{}"
"","FinalDetails","NoWaiversofSubrogation","NoWaiversofSubrogation","Radio","Xpath","//label[contains(text(),'extra named waivers of subrogation?')]//parent::div//parent::div[@class='downBeforeFormLabel']//following-sibling::div//label[text()='No']//preceding-sibling::span/input","{""xpath"":""//label[contains(text(),'extra named waivers of subrogation?')]//parent::div//parent::div[@class='downBeforeFormLabel']//following-sibling::div//label[text()='No']//preceding-sibling::span/input""}","{}"
"","FinalDetails","OrderReports","OrderReports","Radio","Xpath","//label[text()='Yes, order reports']//preceding-sibling::span","{""xpath"":""//label[text()='Yes, order reports']//preceding-sibling::span""}","{}"
"","FinalDetails","PhoneAreaCode","PhoneAreaCode","Text Box","Xpath","//input[@fieldref='MailingAddressInput.PhoneAreaCodeString']","{""xpath"":""//input[@fieldref='MailingAddressInput.PhoneAreaCodeString']""}","{}"
"","FinalDetails","PhoneFourDigits","PhoneFourDigits","Text Box","Xpath","//input[@fieldref='MailingAddressInput.PhoneFourDigitsString']","{""xpath"":""//input[@fieldref='MailingAddressInput.PhoneFourDigitsString']""}","{}"
"","FinalDetails","PhoneThreeDigits","PhoneThreeDigits","Text Box","Xpath","//input[@fieldref='MailingAddressInput.PhoneThreeDigitsString']","{""xpath"":""//input[@fieldref='MailingAddressInput.PhoneThreeDigitsString']""}","{}"
"","FinalDetails","Save&Continue","Save&Continue","Button","Xpath","//span[@fieldref='Save & Continue']","{""xpath"":""//span[@fieldref='Save & Continue']""}","{}"
"","FinalDetails","Save&Continue2","Save&Continue2","Button","Xpath","//span[@fieldref='Save & Continue']","{""xpath"":""//span[@fieldref='Save & Continue']""}","{}"
"","FinalDetails","title","title","Web Element","Xpath","//div[contains(text(),'Additional Insureds & Waivers of Subrogation')]","{""xpath"":""//div[contains(text(),'Additional Insureds & Waivers of Subrogation')]""}","{}"
"","FinalDetails","Wait","Wait","GENERIC","NA","NA","{""na"":""NA""}","{}"
"","ForAgentsOnly.com - Home","Browser","Browser","Browser","NA","NA","{""na"":""NA""}","{}"
"","ForAgentsOnly.com - Home","btn .cls-1 {","btn .cls-1 {","Button","id","searchRIGHT","{""smart eye relative xpath"":""//*[@id=\""searchRIGHT\""]"",""xpath by id"":""//*[@id=\""searchRIGHT\""]"",""id"":""searchRIGHT"",""xpath by tag"":""/html[1]/body[1]/div[1]/header[1]/div[1]/div[3]/section[1]/div[1]/form[1]/div[1]/button[1]"",""cssselector by id & class"":""#searchRIGHT""}","{""* isdisplayed"":""true"",""data-at"":""header-search__submit"",""* isselected"":""false"",""data-ga"":""button"",""* isenabled"":""true"",""id"":""searchRIGHT"",""tag"":""button"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""type"":""submit"",""class"":""header-search__submit search-submit"",""data-label"":""header-search__submit""}"
"","ForAgentsOnly.com - Home","btn Select Product(s)","btn Select Product(s)","Button","Xpath","//input[@id='selectProductButton' and @class='blueBtn' and @value='Select Product(s)']","{""smart eye relative xpath"":""//input[@type='button']"",""smart eye relative xpath_1"":""//*[@id=\""selectProductButton\""]"",""xpath"":""//input[@id='selectProductButton' and @class='blueBtn' and @value='Select Product(s)']"",""xpath by id"":""//*[@id=\""selectProductButton\""]"",""id"":""selectProductButton"",""linktext"":""Select Product(s)"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/input[1]"",""cssselector by id & class"":""#selectProductButton""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""onclick"":""showFlyOut()"",""* isenabled"":""true"",""id"":""selectProductButton"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""type"":""button"",""class"":""blueBtn"",""value"":""Select Product(s)""}"
"","ForAgentsOnly.com - Home","btn Start","btn Start","Button","id","ctl00_MainContent_imgSubmitPS","{""smart eye relative xpath"":""//input[@type='submit' and @value='Start' ]"",""smart eye relative xpath_1"":""//*[@id=\""ctl00_MainContent_imgSubmitPS\""]"",""xpath by id"":""//*[@id=\""ctl00_MainContent_imgSubmitPS\""]"",""id"":""ctl00_MainContent_imgSubmitPS"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[2]/form[1]/div[1]/input[1]"",""cssselector by id & class"":""#ctl00_MainContent_imgSubmitPS""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""onclick"":""ps_submit('ctl00_MainContent_ddlPSAction','ctl00_MainContent_ps1_polNbrLnameSrch',event)"",""* isenabled"":""true"",""id"":""ctl00_MainContent_imgSubmitPS"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=611"",""type"":""submit"",""class"":""blueBtn"",""value"":""Start""}"
"","ForAgentsOnly.com - Home","btn Start Quote","btn Start Quote","Button","Xpath by Id","//*[@id=""sc1""]/form[@class=""quotePanel""]/div[@class=""selectProducts""]/div[@class=""pp-popup-box active""]/section[@class=""pp-footer""]/div[1]/input[@id=""quoteActionSelectButton""]","{""smart eye relative xpath"":""//input[@type='submit' and @value='Start Quote' ]"",""smart eye relative xpath_1"":""//*[@id=\""sc1\""]/form[@class=\""quotePanel\""]/div[@class=\""selectProducts\""]/div[@class=\""pp-popup-box active\""]/section[@class=\""pp-footer\""]/div[1]/input[@id=\""quoteActionSelectButton\""]"",""xpath by id"":""//*[@id=\""sc1\""]/form[@class=\""quotePanel\""]/div[@class=\""selectProducts\""]/div[@class=\""pp-popup-box active\""]/section[@class=\""pp-footer\""]/div[1]/input[@id=\""quoteActionSelectButton\""]"",""id"":""quoteActionSelectButton"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/section[1]/div[1]/input[1]"",""cssselector by id & class"":""#quoteActionSelectButton""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""onclick"":""OpenNewQuote('N')"",""* isenabled"":""true"",""id"":""quoteActionSelectButton"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""type"":""submit"",""class"":""blueBtn"",""value"":""Start Quote""}"
"","ForAgentsOnly.com - Home","lnk Auto","lnk Auto","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Auto']","{""smart eye relative xpath"":""//a[normalize-space(.)='Auto']"",""smart eye relative xpath_1"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[1]/a[1]"",""xpath by id"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[1]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[1]/ul[1]/li[1]/a[1]"",""cssselector by id & class"":""#autoToys ul li:nth-child(1) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Auto"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""AU""}"
"","ForAgentsOnly.com - Home","lnk Boat/PWC","lnk Boat/PWC","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Boat/PWC']","{""smart eye relative xpath"":""//a[normalize-space(.)='Boat/PWC']"",""smart eye relative xpath_1"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[3]/a[1]"",""xpath by id"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[3]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[1]/ul[1]/li[3]/a[1]"",""cssselector by id & class"":""#autoToys ul li:nth-child(3) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Boat/PWC"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""BT""}"
"","ForAgentsOnly.com - Home","lnk Businessowner/ Contractor GL","lnk Businessowner/ Contractor GL","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Businessowner/ Contractor GL']","{""smart eye relative xpath"":""//a[normalize-space(.)='Businessowner/ Contractor GL']"",""smart eye relative xpath_1"":""//*[@id=\""business\""]/ul[@class=\""list pp-add-products\""]/li[2]/a[1]"",""xpath by id"":""//*[@id=\""business\""]/ul[@class=\""list pp-add-products\""]/li[2]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[3]/div[2]/ul[1]/li[2]/a[1]"",""cssselector by id & class"":""#business ul li:nth-child(2) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Businessowner/ Contractor GL"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""BP""}"
"","ForAgentsOnly.com - Home","lnk Commercial","lnk Commercial","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Commercial']","{""smart eye relative xpath"":""//a[normalize-space(.)='Commercial']"",""smart eye relative xpath_1"":""/html[1]/body[1]/div[@class=\""fao-site\""]/main[@class=\""homeWrapper\""]/section[@class=\""h-core h-core--classic\""]/aside[@class=\""h-core__col h-core__col--small\""]/article[@class=\""base-content portfolio-learning-center-tile\""]/a[@class=\""portfolio-learning-center-tile__link portfolio-learning-center-tile__link--alt\""]"",""xpath by id"":""/html[1]/body[1]/div[@class=\""fao-site\""]/main[@class=\""homeWrapper\""]/section[@class=\""h-core h-core--classic\""]/aside[@class=\""h-core__col h-core__col--small\""]/article[@class=\""base-content portfolio-learning-center-tile\""]/a[@class=\""portfolio-learning-center-tile__link portfolio-learning-center-tile__link--alt\""]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/article[2]/a[2]"",""cssselector by id & class"":""body div:nth-child(2) main section:nth-child(2) aside:nth-child(1) article:nth-child(3) a:nth-child(3)""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/portfolioCL"",""linktext"":""Commercial"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""portfolio-learning-center-tile__link portfolio-learning-center-tile__link--alt"",""data-label"":""Learn more about Portfolio - Commercial""}"
"","ForAgentsOnly.com - Home","lnk Commercial Auto","lnk Commercial Auto","Link","Xpath","//*[@id=""business""]/ul[@class=""list pp-add-products""]/li[1]/a//span","{""smart eye relative xpath"":""//a[normalize-space(.)='Commercial Auto']"",""smart eye relative xpath_1"":""//*[@id=\""business\""]/ul[@class=\""list pp-add-products\""]/li[1]/a[1]"",""xpath"":""//*[@id=\""business\""]/ul[@class=\""list pp-add-products\""]/li[1]/a//span"",""xpath by id"":""//*[@id=\""business\""]/ul[@class=\""list pp-add-products\""]/li[1]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[3]/div[2]/ul[1]/li[1]/a[1]"",""cssselector by id & class"":""#business ul li:nth-child(1) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Commercial Auto"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""CV""}"
"","ForAgentsOnly.com - Home","lnk Condo (HO6)","lnk Condo (HO6)","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Condo (HO6)']","{""smart eye relative xpath"":""//a[normalize-space(.)='Condo (HO6)']"",""smart eye relative xpath_1"":""//*[@id=\""property\""]/ul[@class=\""list pp-add-products\""]/li[2]/a[1]"",""xpath by id"":""//*[@id=\""property\""]/ul[@class=\""list pp-add-products\""]/li[2]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[2]/ul[1]/li[2]/a[1]"",""cssselector by id & class"":""#property ul li:nth-child(2) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Condo (HO6)"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""CO""}"
"","ForAgentsOnly.com - Home","lnk COVID-19 Important Updates","lnk COVID-19 Important Updates","Link","Smart Eye Relative XPath","//a[normalize-space(.)='COVID-19 Important Updates Learn more about our response.']","{""smart eye relative xpath"":""//a[normalize-space(.)='COVID-19 Important Updates Learn more about our response.']"",""smart eye relative xpath_1"":""/html[1]/body[1]/div[@class=\""fao-site\""]/main[@class=\""homeWrapper\""]/section[@class=\""h-core h-core--classic\""]/aside[@class=\""h-core__col h-core__col--small\""]/article[@class=\""base-content covid-banner covid-banner--sidebar\""]/a[@class=\""covid-banner__link\""]"",""xpath by id"":""/html[1]/body[1]/div[@class=\""fao-site\""]/main[@class=\""homeWrapper\""]/section[@class=\""h-core h-core--classic\""]/aside[@class=\""h-core__col h-core__col--small\""]/article[@class=\""base-content covid-banner covid-banner--sidebar\""]/a[@class=\""covid-banner__link\""]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/article[1]/a[1]"",""cssselector by id & class"":""body div:nth-child(2) main section:nth-child(2) aside:nth-child(1) article:nth-child(1) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/privatecontent/lp/covid19/"",""linktext"":""COVID-19 Important Updates\t\t\t\tLearn more about our response."",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""covid-banner__link"",""data-label"":""Covid Homepage Sidebar Banner: Covid-19 Landing Page Link""}"
"","ForAgentsOnly.com - Home","lnk Dwelling Fire (DP3)","lnk Dwelling Fire (DP3)","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Dwelling Fire (DP3)']","{""smart eye relative xpath"":""//a[normalize-space(.)='Dwelling Fire (DP3)']"",""smart eye relative xpath_1"":""//*[@id=\""property\""]/ul[@class=\""list pp-add-products\""]/li[5]/a[1]"",""xpath by id"":""//*[@id=\""property\""]/ul[@class=\""list pp-add-products\""]/li[5]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[2]/ul[1]/li[5]/a[1]"",""cssselector by id & class"":""#property ul li:nth-child(5) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Dwelling Fire (DP3)"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""DP""}"
"","ForAgentsOnly.com - Home","lnk e-Sign follow up required: 2989","lnk e-Sign follow up required: 2989","Link","Smart Eye Relative XPath","//a[normalize-space(.)='e-Sign follow up required: 2989']","{""smart eye relative xpath"":""//a[normalize-space(.)='e-Sign follow up required: 2989']"",""smart eye relative xpath_1"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by id"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/article[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]"",""cssselector by id & class"":""#smartViewAlertsTable div:nth-child(1) div:nth-child(2) div:nth-child(1) div a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/managepolicies/reports/policiesneedservice/esignreport/EligibleToEsign/?Source=MsgCenter"",""linktext"":""e-Sign follow up required: 2989"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-label"":""Smart View Alerts: e-Sign follow up required: 2989""}"
"","ForAgentsOnly.com - Home","lnk EPLI, NPDO, Cyber and More","lnk EPLI, NPDO, Cyber and More","Link","Smart Eye Relative XPath","//a[normalize-space(.)='EPLI, NPDO, Cyber and More']","{""smart eye relative xpath"":""//a[normalize-space(.)='EPLI, NPDO, Cyber and More']"",""smart eye relative xpath_1"":""//*[@id=\""business\""]/ul[@class=\""list pp-add-products\""]/li[3]/a[1]"",""xpath by id"":""//*[@id=\""business\""]/ul[@class=\""list pp-add-products\""]/li[3]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[3]/div[2]/ul[1]/li[3]/a[1]"",""cssselector by id & class"":""#business ul li:nth-child(3) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""EPLI, NPDO, Cyber and More"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""PG""}"
"","ForAgentsOnly.com - Home","lnk Flood","lnk Flood","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Flood']","{""smart eye relative xpath"":""//a[normalize-space(.)='Flood']"",""smart eye relative xpath_1"":""//*[@id=\""additionalProtection\""]/ul[@class=\""list pp-add-products\""]/li[2]/a[1]"",""xpath by id"":""//*[@id=\""additionalProtection\""]/ul[@class=\""list pp-add-products\""]/li[2]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[3]/div[1]/ul[1]/li[2]/a[1]"",""cssselector by id & class"":""#additionalProtection ul li:nth-child(2) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Flood"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""FL""}"
